Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
2,0.2,2,None,WSVM,WSVM,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
2,0.2,2,None,own_class_center,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,None,own_class_center,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,None,estimated_hyper_lin,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,None,estimated_hyper_lin,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,None,actual_hyper_lin,lin_center_own,0.56,0.8,0.6693280212272605,0.4,0.6,0.6800000000000002,"[[28 22]
 [ 2  8]]"
2,0.2,2,None,actual_hyper_lin,exp,0.88,0.8,0.8390470785361213,0.6666666666666666,0.8666666666666667,0.8400000000000001,"[[44  6]
 [ 2  8]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.7,0.8024961059095552,0.6666666666666666,0.8833333333333333,0.81,"[[46  4]
 [ 3  7]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.7,0.8024961059095552,0.6666666666666666,0.8833333333333333,0.81,"[[46  4]
 [ 3  7]]"
2,0.2,2,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
2,0.2,2,1,own_class_center,lin_center_own,0.88,0.7,0.7848566748139434,0.608695652173913,0.85,0.79,"[[44  6]
 [ 3  7]]"
2,0.2,2,1,own_class_center,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,1,estimated_hyper_lin,lin_center_own,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
2,0.2,2,1,estimated_hyper_lin,exp,0.84,0.7,0.7668115805072325,0.56,0.8166666666666667,0.77,"[[42  8]
 [ 3  7]]"
2,0.2,2,1,actual_hyper_lin,lin_center_own,0.56,0.8,0.6693280212272605,0.4,0.6,0.6800000000000002,"[[28 22]
 [ 2  8]]"
2,0.2,2,1,actual_hyper_lin,exp,0.86,0.8,0.8294576541331089,0.64,0.85,0.8300000000000001,"[[43  7]
 [ 2  8]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6,0.9,0.7348469228349535,0.4615384615384615,0.65,0.75,"[[30 20]
 [ 1  9]]"
2,0.2,3,None,SVM,SVM,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
2,0.2,3,None,WSVM,WSVM,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
2,0.2,3,None,own_class_center,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,None,own_class_center,exp,0.9,0.3,0.5196152422706632,0.33333333333333326,0.8,0.6000000000000001,"[[45  5]
 [ 7  3]]"
2,0.2,3,None,estimated_hyper_lin,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,None,estimated_hyper_lin,exp,0.9,0.4,0.6000000000000001,0.4210526315789474,0.8166666666666667,0.65,"[[45  5]
 [ 6  4]]"
2,0.2,3,None,actual_hyper_lin,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
