Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
20,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
21,own_class_center,lin_center_own,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
22,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
23,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
24,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
25,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
26,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
27,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
28,own_class_center,lin_center_own,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
29,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
30,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
1,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
2,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
3,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
4,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
5,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
6,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
7,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
8,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
9,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
10,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
11,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
12,own_class_center,exp,0.955555556,0.76,0.85218673,0.703703704,0.936,0.857777778,"[[215  10]
 [  6  19]]"
13,own_class_center,exp,0.955555556,0.76,0.85218673,0.703703704,0.936,0.857777778,"[[215  10]
 [  6  19]]"
14,own_class_center,exp,0.955555556,0.76,0.85218673,0.703703704,0.936,0.857777778,"[[215  10]
 [  6  19]]"
15,own_class_center,exp,0.955555556,0.76,0.85218673,0.703703704,0.936,0.857777778,"[[215  10]
 [  6  19]]"
16,own_class_center,exp,0.955555556,0.76,0.85218673,0.703703704,0.936,0.857777778,"[[215  10]
 [  6  19]]"
17,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
18,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
19,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
20,own_class_center,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
21,own_class_center,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
22,own_class_center,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
23,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
24,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
25,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
26,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
27,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
28,own_class_center,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
