Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,3,own_class_center,lin_center_own,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,3,own_class_center,exp,0.96,0.5,0.6928203230275509,0.588235294117647,0.8833333333333333,0.73,"[[48  2]
 [ 5  5]]"
1,0.2,3,estimated_hyper_lin,lin_center_own,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,3,estimated_hyper_lin,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,3,actual_hyper_lin,lin_center_own,0.96,0.3,0.5366563145999496,0.4,0.85,0.63,"[[48  2]
 [ 7  3]]"
1,0.2,3,actual_hyper_lin,exp,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,3,distance_center_own_opposite_tam,func_own_opp_new,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,3,distance_center_own_opposite_tam,func_own_opp_new_v1,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,3,distance_center_own_opposite_tam,func_own_opp_new_v2,0.54,1.0,0.7348469228349535,0.4651162790697675,0.6166666666666667,0.77,"[[27 23]
 [ 0 10]]"
1,0.2,4,SVM,SVM,1.0,0.1,0.31622776601683794,0.18181818181818182,0.85,0.55,"[[50  0]
 [ 9  1]]"
1,0.2,4,WSVM,WSVM,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,4,own_class_center,lin_center_own,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
1,0.2,4,own_class_center,exp,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
1,0.2,4,estimated_hyper_lin,lin_center_own,0.9,0.8,0.8485281374238571,0.6956521739130435,0.8833333333333333,0.8500000000000001,"[[45  5]
 [ 2  8]]"
1,0.2,4,estimated_hyper_lin,exp,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,4,actual_hyper_lin,lin_center_own,0.94,0.0,0.0,0.0,0.7833333333333333,0.47,"[[47  3]
 [10  0]]"
1,0.2,4,actual_hyper_lin,exp,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
1,0.2,4,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
